reg;cl_age90;jour;hosp;rea;rad;dc
1;0;18/03/2020;0;0;0;0
1;9;18/03/2020;0;0;0;0
1;19;18/03/2020;0;0;0;0
1;29;18/03/2020;0;0;0;0
1;39;18/03/2020;0;0;0;0
1;49;18/03/2020;0;0;0;0
1;59;18/03/2020;0;0;0;0
1;69;18/03/2020;0;0;0;0
1;79;18/03/2020;0;0;0;0
1;89;18/03/2020;0;0;0;0
1;90;18/03/2020;0;0;0;0
2;0;18/03/2020;16;5;0;1
2;9;18/03/2020;0;0;0;0
2;19;18/03/2020;0;0;0;0
2;29;18/03/2020;2;1;0;0
2;39;18/03/2020;2;0;0;0
2;49;18/03/2020;2;1;0;0
2;59;18/03/2020;5;0;0;0
2;69;18/03/2020;4;3;0;0
2;79;18/03/2020;1;0;0;0
2;89;18/03/2020;0;0;0;1
2;90;18/03/2020;0;0;0;0
3;0;18/03/2020;0;0;0;0
3;9;18/03/2020;0;0;0;0
3;19;18/03/2020;0;0;0;0
3;29;18/03/2020;0;0;0;0
3;39;18/03/2020;0;0;0;0
3;49;18/03/2020;0;0;0;0
3;59;18/03/2020;0;0;0;0
3;69;18/03/2020;0;0;0;0
3;79;18/03/2020;0;0;0;0
3;89;18/03/2020;0;0;0;0
3;90;18/03/2020;0;0;0;0
4;0;18/03/2020;2;2;0;0
4;9;18/03/2020;0;0;0;0
4;19;18/03/2020;0;0;0;0
4;29;18/03/2020;0;0;0;0
4;39;18/03/2020;0;0;0;0
4;49;18/03/2020;0;0;0;0
4;59;18/03/2020;0;0;0;0
4;69;18/03/2020;0;0;0;0
4;79;18/03/2020;1;1;0;0
4;89;18/03/2020;1;1;0;0
4;90;18/03/2020;0;0;0;0
6;0;18/03/2020;0;0;0;0
6;9;18/03/2020;0;0;0;0
6;19;18/03/2020;0;0;0;0
6;29;18/03/2020;0;0;0;0
6;39;18/03/2020;0;0;0;0
6;49;18/03/2020;0;0;0;0
6;59;18/03/2020;0;0;0;0
6;69;18/03/2020;0;0;0;0
6;79;18/03/2020;0;0;0;0
6;89;18/03/2020;0;0;0;0
6;90;18/03/2020;0;0;0;0
11;0;18/03/2020;957;294;129;36
11;9;18/03/2020;3;2;1;0
11;19;18/03/2020;6;1;0;0
11;29;18/03/2020;11;2;18;0
11;39;18/03/2020;42;13;16;0
11;49;18/03/2020;89;27;11;4
11;59;18/03/2020;177;67;30;0
11;69;18/03/2020;185;73;18;2
11;79;18/03/2020;200;70;18;8
11;89;18/03/2020;168;30;12;16
11;90;18/03/2020;63;4;3;4
24;0;18/03/2020;14;5;0;1
24;9;18/03/2020;0;0;0;0
24;19;18/03/2020;0;0;0;0
24;29;18/03/2020;0;0;0;0
24;39;18/03/2020;0;0;0;0
24;49;18/03/2020;0;0;0;0
24;59;18/03/2020;3;0;0;0
24;69;18/03/2020;3;1;0;0
24;79;18/03/2020;3;2;0;1
24;89;18/03/2020;4;2;0;0
24;90;18/03/2020;1;0;0;0
27;0;18/03/2020;168;33;20;6
27;9;18/03/2020;0;0;0;0
27;19;18/03/2020;0;0;1;0
27;29;18/03/2020;1;0;3;0
27;39;18/03/2020;4;1;3;0
27;49;18/03/2020;9;1;2;0
27;59;18/03/2020;17;2;3;0
27;69;18/03/2020;32;10;1;0
27;79;18/03/2020;41;13;0;1
27;89;18/03/2020;50;6;5;3
27;90;18/03/2020;14;0;2;2
28;0;18/03/2020;45;4;6;3
28;9;18/03/2020;0;0;0;0
28;19;18/03/2020;0;0;0;0
28;29;18/03/2020;1;0;0;0
28;39;18/03/2020;1;0;0;0
28;49;18/03/2020;3;0;0;0
28;59;18/03/2020;4;0;2;0
28;69;18/03/2020;8;2;3;1
28;79;18/03/2020;15;2;1;1
28;89;18/03/2020;10;0;0;1
28;90;18/03/2020;3;0;0;0
32;0;18/03/2020;313;87;77;21
32;9;18/03/2020;10;0;10;0
32;19;18/03/2020;4;1;2;0
32;29;18/03/2020;7;2;7;0
32;39;18/03/2020;14;4;12;0
32;49;18/03/2020;16;3;13;0
32;59;18/03/2020;37;13;10;0
32;69;18/03/2020;55;25;7;3
32;79;18/03/2020;73;31;7;6
32;89;18/03/2020;65;8;8;10
32;90;18/03/2020;32;0;1;2
44;0;18/03/2020;879;204;146;120
44;9;18/03/2020;4;0;30;0
44;19;18/03/2020;4;2;1;0
44;29;18/03/2020;12;1;2;1
44;39;18/03/2020;22;6;5;0
44;49;18/03/2020;41;14;12;1
44;59;18/03/2020;92;30;26;3
44;69;18/03/2020;181;69;21;9
44;79;18/03/2020;206;58;21;21
44;89;18/03/2020;197;22;17;53
44;90;18/03/2020;76;0;4;32
52;0;18/03/2020;44;4;36;1
52;9;18/03/2020;0;0;0;0
52;19;18/03/2020;0;0;0;0
52;29;18/03/2020;2;0;6;0
52;39;18/03/2020;2;0;2;0
52;49;18/03/2020;2;1;9;0
52;59;18/03/2020;6;0;7;0
52;69;18/03/2020;8;1;9;0
52;79;18/03/2020;9;1;2;0
52;89;18/03/2020;10;1;1;0
52;90;18/03/2020;5;0;0;1
53;0;18/03/2020;60;23;69;7
53;9;18/03/2020;0;0;0;0
53;19;18/03/2020;0;0;1;0
53;29;18/03/2020;0;0;2;0
53;39;18/03/2020;3;0;4;0
53;49;18/03/2020;0;0;6;0
53;59;18/03/2020;4;2;10;0
53;69;18/03/2020;11;2;19;0
53;79;18/03/2020;19;11;18;0
53;89;18/03/2020;22;8;7;2
53;90;18/03/2020;1;0;2;5
75;0;18/03/2020;41;12;11;2
75;9;18/03/2020;0;0;0;0
75;19;18/03/2020;0;0;1;0
75;29;18/03/2020;2;2;0;0
75;39;18/03/2020;1;0;2;0
75;49;18/03/2020;3;1;0;0
75;59;18/03/2020;2;1;3;0
75;69;18/03/2020;11;4;2;0
75;79;18/03/2020;8;2;1;0
75;89;18/03/2020;9;2;0;1
75;90;18/03/2020;4;0;1;1
76;0;18/03/2020;95;39;51;6
76;9;18/03/2020;2;0;2;0
76;19;18/03/2020;0;0;3;0
76;29;18/03/2020;2;0;3;0
76;39;18/03/2020;3;0;8;0
76;49;18/03/2020;3;1;8;0
76;59;18/03/2020;13;5;13;1
76;69;18/03/2020;24;13;3;0
76;79;18/03/2020;29;14;10;1
76;89;18/03/2020;17;6;1;4
76;90;18/03/2020;1;0;0;0
84;0;18/03/2020;172;35;69;7
84;9;18/03/2020;1;0;1;0
84;19;18/03/2020;0;0;2;0
84;29;18/03/2020;3;0;7;0
84;39;18/03/2020;4;0;14;1
84;49;18/03/2020;11;3;6;0
84;59;18/03/2020;18;8;9;0
84;69;18/03/2020;24;9;19;1
84;79;18/03/2020;51;13;6;2
84;89;18/03/2020;41;2;4;3
84;90;18/03/2020;11;0;1;0
93;0;18/03/2020;166;24;202;7
93;9;18/03/2020;0;0;5;0
93;19;18/03/2020;6;0;14;0
93;29;18/03/2020;7;1;28;0
93;39;18/03/2020;14;0;23;0
93;49;18/03/2020;22;1;40;0
93;59;18/03/2020;29;4;39;0
93;69;18/03/2020;38;8;26;1
93;79;18/03/2020;29;8;20;1
93;89;18/03/2020;15;2;7;4
93;90;18/03/2020;6;0;0;1
94;0;18/03/2020;0;0;0;0
94;9;18/03/2020;0;0;0;0
94;19;18/03/2020;0;0;0;0
94;29;18/03/2020;0;0;0;0
94;39;18/03/2020;0;0;0;0
94;49;18/03/2020;0;0;0;0
94;59;18/03/2020;0;0;0;0
94;69;18/03/2020;0;0;0;0
94;79;18/03/2020;0;0;0;0
94;89;18/03/2020;0;0;0;0
94;90;18/03/2020;0;0;0;0
1;0;19/03/2020;0;0;0;0
1;9;19/03/2020;0;0;0;0
1;19;19/03/2020;0;0;0;0
1;29;19/03/2020;0;0;0;0
1;39;19/03/2020;0;0;0;0
1;49;19/03/2020;0;0;0;0
1;59;19/03/2020;0;0;0;0
1;69;19/03/2020;0;0;0;0
1;79;19/03/2020;0;0;0;0
1;89;19/03/2020;0;0;0;0
1;90;19/03/2020;0;0;0;0
2;0;19/03/2020;17;5;0;1
2;9;19/03/2020;0;0;0;0
2;19;19/03/2020;0;0;0;0
2;29;19/03/2020;2;1;0;0
2;39;19/03/2020;2;0;0;0
2;49;19/03/2020;3;1;0;0
2;59;19/03/2020;5;0;0;0
2;69;19/03/2020;4;3;0;0
2;79;19/03/2020;1;0;0;0
2;89;19/03/2020;0;0;0;1
2;90;19/03/2020;0;0;0;0
3;0;19/03/2020;0;0;0;0
3;9;19/03/2020;0;0;0;0
3;19;19/03/2020;0;0;0;0
3;29;19/03/2020;0;0;0;0
3;39;19/03/2020;0;0;0;0
3;49;19/03/2020;0;0;0;0
3;59;19/03/2020;0;0;0;0
3;69;19/03/2020;0;0;0;0
3;79;19/03/2020;0;0;0;0
3;89;19/03/2020;0;0;0;0
3;90;19/03/2020;0;0;0;0
4;0;19/03/2020;2;2;0;0
4;9;19/03/2020;0;0;0;0
4;19;19/03/2020;0;0;0;0
